year,investments
2026,cash value: 68400,S&P 500 non-retirement value: 157167.06,tax-exempt bonds value: 2070.5,S&P 500 pre-tax value: 10486.4,S&P 500 after-tax value: 39291.77
2027,cash value: 126304.34,S&P 500 non-retirement value: 278120.6,tax-exempt bonds value: 2165,S&P 500 pre-tax value: 10947.42,S&P 500 after-tax value: 73930.79
2028,cash value: 184997.98,S&P 500 non-retirement value: 445670.66,tax-exempt bonds value: 2326.14,S&P 500 pre-tax value: 11069.51,S&P 500 after-tax value: 125701.98
2029,cash value: 243745.78,S&P 500 non-retirement value: 663024.83,tax-exempt bonds value: 2467.18,S&P 500 pre-tax value: 11720.26,S&P 500 after-tax value: 198046.38
2030,cash value: 303766.09,S&P 500 non-retirement value: 938756.47,tax-exempt bonds value: 2567.47,S&P 500 pre-tax value: 12338.8,S&P 500 after-tax value: 296449.41
2031,cash value: 364760.87,S&P 500 non-retirement value: 1262950.99,tax-exempt bonds value: 2757,S&P 500 pre-tax value: 12922.19,S&P 500 after-tax value: 420983.66
2032,cash value: 426904.75,S&P 500 non-retirement value: 1650532.79,tax-exempt bonds value: 2964.38,S&P 500 pre-tax value: 13926.77,S&P 500 after-tax value: 579916.93
2033,cash value: 489886.4,S&P 500 non-retirement value: 2104845.98,tax-exempt bonds value: 3066.2,S&P 500 pre-tax value: 14393.09,S&P 500 after-tax value: 778504.68
2034,cash value: 554212.44,S&P 500 non-retirement value: 2537027.91,tax-exempt bonds value: 3302.59,S&P 500 pre-tax value: 14718.5,S&P 500 after-tax value: 986621.96
2035,cash value: 618342.11,S&P 500 non-retirement value: 3022228.46,tax-exempt bonds value: 3521.28,S&P 500 pre-tax value: 15236.47,S&P 500 after-tax value: 1234431.34
2036,cash value: 683052.99,S&P 500 non-retirement value: 3561613.84,tax-exempt bonds value: 3749.62,S&P 500 pre-tax value: 16286.03,S&P 500 after-tax value: 1526405.93
2037,cash value: 749011.65,S&P 500 non-retirement value: 4204650.32,tax-exempt bonds value: 4110.69,S&P 500 pre-tax value: 17442.04,S&P 500 after-tax value: 1889045.79
2038,cash value: 815218.64,S&P 500 non-retirement value: 4997621.69,tax-exempt bonds value: 4495.04,S&P 500 pre-tax value: 19267.58,S&P 500 after-tax value: 2351821.97
2039,cash value: 881702.43,S&P 500 non-retirement value: 5813321.91,tax-exempt bonds value: 4881.68,S&P 500 pre-tax value: 20563.59,S&P 500 after-tax value: 2863277.96
2040,cash value: 948567.64,S&P 500 non-retirement value: 6455597.32,tax-exempt bonds value: 5187.32,S&P 500 pre-tax value: 21425.1,S&P 500 after-tax value: 3325610.74
