[Thread 0] [Income] Year: 2025, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2026, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2027, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2028, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2029, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2030, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2031, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2032, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2033, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2034, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2035, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2036, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2037, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2038, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2039, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2040, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2041, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2042, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2043, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2044, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2045, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2046, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2047, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2048, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2049, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2050, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2051, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2052, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2053, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2054, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2055, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2056, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2057, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2058, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2059, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2060, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2061, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2062, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2063, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2064, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2025, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2026, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2027, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2028, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2029, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2030, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2031, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2032, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2033, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2034, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2035, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2036, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2037, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2038, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2039, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2040, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2041, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2042, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2043, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2044, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2045, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2046, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2047, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2048, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2049, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2050, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2051, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2052, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2053, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2054, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2055, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2056, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2057, Amount: 75000, Event name: salary
[Thread 0] [Income] Year: 2058, Amount: 75000, Event name: salary
